id,question,expected,type,context,model_a,model_a_answer,model_a_latency_sec,model_a_hallucinated,model_a_correct,model_a_refusal_correct,model_a_judge_reason,model_b,model_b_answer,model_b_latency_sec,model_b_hallucinated,model_b_correct,model_b_refusal_correct,model_b_judge_reason
Q11,"Annual Leave is available immediately after joining, correct?",No. Annual Leave eligibility starts after 90 days of employment.,misleading_premise,"[Carry Forward Rules]
Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the start of each calendar year. Employees who join partway through the calendar year receive a pro-rated Annual Leave and Casual Leave balance based on their remaining months in that year, rounded to the nearest whole day. Sick Leave is granted in full regardless of joining date. Employees leaving the company are paid out for any unused, carried-forward Annual Leave balance as part of their final settlement. Unused Sick Leave and Casual Leave are not paid out on exit, since they do not carry forward.

[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned

[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive",openai/gpt-oss-20b,"No. According to the policy, new employees can apply for Annual Leave only after completing 90 days of employment (their probation period).",1.0812,False,True,False,"Annual Leave eligibility begins after 90 days, not immediately.",openai/gpt-oss-120b,No. New employees become eligible to apply for Annual Leave only after completing 90 days of employment (the probation period).,0.9606,False,True,False,"Annual Leave eligibility begins after 90 days, not immediately."
Q12,"Since Sick Leave is not available during probation, when does it start?",The premise is false. Sick Leave is available from the first working day.,misleading_premise,"[Leave Types And Eligibility]
employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned for. All leave requests are validated against the employee's current leave balance at the time of application, and again at the time of manager approval, since the balance may have changed between the two.

[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned

[Carry Forward Rules]
Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the start of each calendar year. Employees who join partway through the calendar year receive a pro-rated Annual Leave and Casual Leave balance based on their remaining months in that year, rounded to the nearest whole day. Sick Leave is granted in full regardless of joining date. Employees leaving the company are paid out for any unused, carried-forward Annual Leave balance as part of their final settlement. Unused Sick Leave and Casual Leave are not paid out on exit, since they do not carry forward.",openai/gpt-oss-20b,"Sick Leave is available from an employee’s first working day, regardless of probation status.",0.6431,False,True,False,The premise is false: Sick Leave is available from the first working day.,openai/gpt-oss-120b,"Sick Leave is available from an employee’s first working day, even during the probation period.",1.3974,False,True,False,The premise is false: Sick Leave is available from the first working day.
Q13,"We can carry forward all 10 Sick Leave days, right?",No. Sick Leave does not carry forward.,misleading_premise,"[Carry Forward Rules]
Leave Carry-Forward Rules Unused Annual Leave: Up to 5 unused Annual Leave days may be carried forward into the next calendar year. Any Annual Leave balance beyond 5 days that remains unused at the end of the calendar year is forfeited and does not carry forward. Carried-forward Annual Leave must be used within the first 3 months (by March 31) of the following year, after which it is forfeited. Unused Sick Leave: Sick Leave does not carry forward. Any unused Sick Leave balance is reset to the standard 10 days at the start of each calendar year. Unused Casual Leave: Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the

[Carry Forward Rules]
Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the start of each calendar year. Employees who join partway through the calendar year receive a pro-rated Annual Leave and Casual Leave balance based on their remaining months in that year, rounded to the nearest whole day. Sick Leave is granted in full regardless of joining date. Employees leaving the company are paid out for any unused, carried-forward Annual Leave balance as part of their final settlement. Unused Sick Leave and Casual Leave are not paid out on exit, since they do not carry forward.

[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive",openai/gpt-oss-20b,No. Sick Leave does not carry forward; any unused Sick Leave is reset to the standard 10 days at the start of each calendar year.,0.9109,False,True,False,Sick Leave does not carry forward.,openai/gpt-oss-120b,No. Sick Leave does not carry forward; any unused sick days are reset to the standard 10 days at the start of each calendar year.,1.2303,False,True,False,Sick Leave does not carry forward.
Q14,"Casual Leave can be carried for two years, so how long can I keep it?",The premise is unsupported/incorrect. The policy says Casual Leave does not carry forward.,misleading_premise,"[Carry Forward Rules]
Leave Carry-Forward Rules Unused Annual Leave: Up to 5 unused Annual Leave days may be carried forward into the next calendar year. Any Annual Leave balance beyond 5 days that remains unused at the end of the calendar year is forfeited and does not carry forward. Carried-forward Annual Leave must be used within the first 3 months (by March 31) of the following year, after which it is forfeited. Unused Sick Leave: Sick Leave does not carry forward. Any unused Sick Leave balance is reset to the standard 10 days at the start of each calendar year. Unused Casual Leave: Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the

[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned

[Carry Forward Rules]
Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the start of each calendar year. Employees who join partway through the calendar year receive a pro-rated Annual Leave and Casual Leave balance based on their remaining months in that year, rounded to the nearest whole day. Sick Leave is granted in full regardless of joining date. Employees leaving the company are paid out for any unused, carried-forward Annual Leave balance as part of their final settlement. Unused Sick Leave and Casual Leave are not paid out on exit, since they do not carry forward.",openai/gpt-oss-20b,The policy states that Casual Leave does not carry forward. Any unused balance is reset to the standard 5 days at the start of each calendar year.,1.2717,False,True,False,Casual Leave does not carry forward.,openai/gpt-oss-120b,Casual Leave does not carry forward; any unused balance is reset to the standard 5 days at the start of each calendar year.,2.0538,False,True,False,Casual Leave does not carry forward.
Q15,The policy gives 8 Casual Leave days annually. What are the rules for using them?,"The policy states 5 Casual Leave days annually, not 8.",misleading_premise,"[Carry Forward Rules]
Leave Carry-Forward Rules Unused Annual Leave: Up to 5 unused Annual Leave days may be carried forward into the next calendar year. Any Annual Leave balance beyond 5 days that remains unused at the end of the calendar year is forfeited and does not carry forward. Carried-forward Annual Leave must be used within the first 3 months (by March 31) of the following year, after which it is forfeited. Unused Sick Leave: Sick Leave does not carry forward. Any unused Sick Leave balance is reset to the standard 10 days at the start of each calendar year. Unused Casual Leave: Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the

[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned

[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive",openai/gpt-oss-20b,"The policy actually provides 5 Casual Leave days per calendar year, not 8.  
Casual Leave is for short personal matters that arise with little notice, can be taken in blocks of one or more working days, but cannot exceed 2 consecutive working days without prior manager approval. It does not carry forward and is reset to the full 5 days at the start of each calendar year.",1.014,False,True,False,"Casual Leave is 5 days/year, not 8; it is subject to the stated usage rules.",openai/gpt-oss-120b,"The policy provides **5 Casual Leave days per calendar year** (not 8). They are for short personal matters and can be taken with little notice. Casual Leave cannot exceed 2 consecutive working days without prior manager approval, does not carry forward to the next year, and becomes available after the employee completes 90 days of employment.",1.5952,False,True,False,"Casual Leave is 5 days/year, not 8; it is subject to the stated usage rules."
Q16,Annual Leave can be carried forward without a cap. How do I use the carried days?,"The premise is false. Up to 5 unused Annual Leave days can be carried forward, and they must be used by March 31 of the following year.",misleading_premise,"[Carry Forward Rules]
Leave Carry-Forward Rules Unused Annual Leave: Up to 5 unused Annual Leave days may be carried forward into the next calendar year. Any Annual Leave balance beyond 5 days that remains unused at the end of the calendar year is forfeited and does not carry forward. Carried-forward Annual Leave must be used within the first 3 months (by March 31) of the following year, after which it is forfeited. Unused Sick Leave: Sick Leave does not carry forward. Any unused Sick Leave balance is reset to the standard 10 days at the start of each calendar year. Unused Casual Leave: Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the

[Carry Forward Rules]
Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the start of each calendar year. Employees who join partway through the calendar year receive a pro-rated Annual Leave and Casual Leave balance based on their remaining months in that year, rounded to the nearest whole day. Sick Leave is granted in full regardless of joining date. Employees leaving the company are paid out for any unused, carried-forward Annual Leave balance as part of their final settlement. Unused Sick Leave and Casual Leave are not paid out on exit, since they do not carry forward.

[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive",openai/gpt-oss-20b,"You can use carried‑forward Annual Leave just like regular Annual Leave, but it must be taken",0.9763,False,False,False,"Only up to 5 Annual Leave days carry forward, and they must be used by March 31 of the following year.",openai/gpt-oss-120b,"You can carry forward a maximum of 5 unused Annual Leave days, and those carried‑forward days must be taken by 31 March of the following year; otherwise they are forfeited. Use them by submitting a regular Annual Leave request (at least 5 working days’ notice where possible) before that deadline.",1.559,False,False,False,"Only up to 5 Annual Leave days carry forward, and they must be used by March 31 of the following year."
Q17,"There is a 10-working-day advance-notice rule for Annual Leave, right?","No. The policy says at least 5 working days before the intended start date, wherever possible.",misleading_premise,"[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive

[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned

[Carry Forward Rules]
Leave Carry-Forward Rules Unused Annual Leave: Up to 5 unused Annual Leave days may be carried forward into the next calendar year. Any Annual Leave balance beyond 5 days that remains unused at the end of the calendar year is forfeited and does not carry forward. Carried-forward Annual Leave must be used within the first 3 months (by March 31) of the following year, after which it is forfeited. Unused Sick Leave: Sick Leave does not carry forward. Any unused Sick Leave balance is reset to the standard 10 days at the start of each calendar year. Unused Casual Leave: Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the",openai/gpt-oss-20b,"No. The policy states that Annual Leave should be requested at least **5 working days** before the intended start date, not 10.",0.9893,False,True,False,"The policy says at least 5 working days before the start date, wherever possible.",openai/gpt-oss-120b,"No. The policy requires Annual Leave to be requested at least 5 working days before the intended start date, not 10 days.",1.0613,False,True,False,"The policy says at least 5 working days before the start date, wherever possible."
Q18,The medical certificate for long Sick Leave must be submitted before the leave starts. Confirm?,"No. For 3 or more consecutive working days, the certificate should be shared with HR within 3 working days of returning to work.",misleading_premise,"[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned

[Approval Escalation]
Leave Approval and Escalation Procedure Every leave request starts in Pending status once submitted and is not deducted from the employee's balance until it is approved. Only an employee's direct manager can approve or reject a Pending leave request. Standard approval turnaround: managers are expected to approve or reject a leave request within 2 working days of it being submitted. Sick Leave requests should be actioned the same working day where possible, since they are often applied for on short notice. Escalation: if a leave request remains Pending for more than 3 working days without a manager response, the employee should escalate to HR directly, who can reassign the approval to a secondary approver (typically the manager's own manager). Escalated

[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive",openai/gpt-oss-20b,"No. For Sick Leave of 3 or more consecutive working days, the medical certificate must be shared with HR within 3 working days of returning to work, not before the leave starts.",1.1335,False,True,False,"For 3 or more consecutive Sick Leave working days, the certificate is shared within 3 working days of returning to work.",openai/gpt-oss-120b,"No. For sick leave of three or more consecutive working days, the medical certificate must be shared with HR within three working days after you return, not before the leave starts.",0.7975,False,True,False,"For 3 or more consecutive Sick Leave working days, the certificate is shared within 3 working days of returning to work."
Q19,"Saturday is treated as a working day for leave calculations, correct?",No. Saturday and Sunday are the standard weekend.,misleading_premise,"[Holiday Calendar]
Company Holiday Calendar 2026 The company observes the following public holidays in 2026, in addition to the standard Saturday and Sunday weekend. These dates are excluded automatically when calculating working days for any leave request, so employees are not charged leave balance for a holiday that falls inside their requested date range. January 1 (New Year's Day) January 26 (Republic Day) August 15 (Independence Day) October 2 (Gandhi Jayanti) December 25 (Christmas Day) If a public holiday falls on a weekend, no separate replacement weekday is granted, since the holiday calendar is set at the start of the year with weekends already taken into account. Employees in locations with additional regional or festival holidays should refer to their department's location-specific

[Leave Types And Eligibility]
employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned for. All leave requests are validated against the employee's current leave balance at the time of application, and again at the time of manager approval, since the balance may have changed between the two.

[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned",openai/gpt-oss-20b,No. Saturdays (and Sundays) are considered weekend days and are excluded from the working‑day count when calculating leave.,1.0688,False,True,False,Saturday and Sunday are the standard weekend and are not counted as working days.,openai/gpt-oss-120b,"No. Saturday is part of the standard weekend, so it is not counted as a working day when calculating leave.",1.2825,False,True,False,Saturday and Sunday are the standard weekend and are not counted as working days.
Q20,August 15 is not a company holiday. What kind of leave should I apply for?,The premise is false. August 15 is listed as Independence Day in the supplied holiday calendar.,misleading_premise,"[Holiday Calendar]
Company Holiday Calendar 2026 The company observes the following public holidays in 2026, in addition to the standard Saturday and Sunday weekend. These dates are excluded automatically when calculating working days for any leave request, so employees are not charged leave balance for a holiday that falls inside their requested date range. January 1 (New Year's Day) January 26 (Republic Day) August 15 (Independence Day) October 2 (Gandhi Jayanti) December 25 (Christmas Day) If a public holiday falls on a weekend, no separate replacement weekday is granted, since the holiday calendar is set at the start of the year with weekends already taken into account. Employees in locations with additional regional or festival holidays should refer to their department's location-specific

[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive

[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned",openai/gpt-oss-20b,"August 15 is listed as a company holiday in the policy, so you do not need to apply for any leave on that date.",1.0813,False,True,False,August 15 is Independence Day in the supplied 2026 holiday calendar.,openai/gpt-oss-120b,"August 15 is listed as a company‑observed public holiday, so you do not need to apply for any leave; the day is automatically excluded from your leave balance.",0.9729,False,True,False,August 15 is Independence Day in the supplied 2026 holiday calendar.
Q21,How many days of maternity leave are employees entitled to?,Not provided in the supplied policy context.,unsupported,"[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive

[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned

[Carry Forward Rules]
Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the start of each calendar year. Employees who join partway through the calendar year receive a pro-rated Annual Leave and Casual Leave balance based on their remaining months in that year, rounded to the nearest whole day. Sick Leave is granted in full regardless of joining date. Employees leaving the company are paid out for any unused, carried-forward Annual Leave balance as part of their final settlement. Unused Sick Leave and Casual Leave are not paid out on exit, since they do not carry forward.",openai/gpt-oss-20b,The provided policy context does not contain enough information to answer that question.,0.5591,False,True,True,Unsupported case: the policy context does not provide the requested information.,openai/gpt-oss-120b,The provided policy context does not contain enough information to answer that question.,0.9953,False,True,True,Unsupported case: the policy context does not provide the requested information.
Q22,How many paid paternity leave days does the company provide?,Not provided in the supplied policy context.,unsupported,"[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive

[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned

[Carry Forward Rules]
Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the start of each calendar year. Employees who join partway through the calendar year receive a pro-rated Annual Leave and Casual Leave balance based on their remaining months in that year, rounded to the nearest whole day. Sick Leave is granted in full regardless of joining date. Employees leaving the company are paid out for any unused, carried-forward Annual Leave balance as part of their final settlement. Unused Sick Leave and Casual Leave are not paid out on exit, since they do not carry forward.",openai/gpt-oss-20b,The provided policy context does not contain enough information to answer that question.,0.7467,False,True,True,Unsupported case: the policy context does not provide the requested information.,openai/gpt-oss-120b,The provided policy context does not contain enough information to answer that question.,3.8382,False,True,True,Unsupported case: the policy context does not provide the requested information.
Q23,What percentage of salary is deducted for unpaid leave?,Not provided in the supplied policy context.,unsupported,"[Approval Escalation]
should escalate to HR directly, who can reassign the approval to a secondary approver (typically the manager's own manager). Escalated requests are prioritized for same-day review by HR. Cancellation: an employee may cancel their own leave request at any time before its end date, whether it is still Pending or already Approved. If the leave had already been Approved (and therefore already deducted from the balance), cancelling it refunds the balance in full. Cancelling a Pending request does not require manager involvement, since nothing was deducted yet. Rejected requests do not affect the employee's leave balance, since balance is only deducted at the point of approval, not at the point of application.

[Approval Escalation]
Leave Approval and Escalation Procedure Every leave request starts in Pending status once submitted and is not deducted from the employee's balance until it is approved. Only an employee's direct manager can approve or reject a Pending leave request. Standard approval turnaround: managers are expected to approve or reject a leave request within 2 working days of it being submitted. Sick Leave requests should be actioned the same working day where possible, since they are often applied for on short notice. Escalation: if a leave request remains Pending for more than 3 working days without a manager response, the employee should escalate to HR directly, who can reassign the approval to a secondary approver (typically the manager's own manager). Escalated

[Carry Forward Rules]
Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the start of each calendar year. Employees who join partway through the calendar year receive a pro-rated Annual Leave and Casual Leave balance based on their remaining months in that year, rounded to the nearest whole day. Sick Leave is granted in full regardless of joining date. Employees leaving the company are paid out for any unused, carried-forward Annual Leave balance as part of their final settlement. Unused Sick Leave and Casual Leave are not paid out on exit, since they do not carry forward.",openai/gpt-oss-20b,The provided policy context does not contain enough information to answer that question.,2.1363,False,True,True,Unsupported case: the policy context does not provide the requested information.,openai/gpt-oss-120b,The provided policy context does not contain enough information to answer that question.,0.6485,False,True,True,Unsupported case: the policy context does not provide the requested information.
Q24,Are employees allowed to work from home while officially on Sick Leave?,Not provided in the supplied policy context.,unsupported,"[Leave Types And Eligibility]
employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned for. All leave requests are validated against the employee's current leave balance at the time of application, and again at the time of manager approval, since the balance may have changed between the two.

[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned

[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive",openai/gpt-oss-20b,The provided policy context does not contain enough information to answer that question.,0.7505,False,True,True,Unsupported case: the policy context does not provide the requested information.,openai/gpt-oss-120b,The provided policy context does not contain enough information to answer that question.,5.1812,False,True,True,Unsupported case: the policy context does not provide the requested information.
Q25,What is the maximum number of Annual Leave days allowed in a single request?,Not explicitly specified in the supplied policy context.,unsupported,"[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive

[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned

[Carry Forward Rules]
Leave Carry-Forward Rules Unused Annual Leave: Up to 5 unused Annual Leave days may be carried forward into the next calendar year. Any Annual Leave balance beyond 5 days that remains unused at the end of the calendar year is forfeited and does not carry forward. Carried-forward Annual Leave must be used within the first 3 months (by March 31) of the following year, after which it is forfeited. Unused Sick Leave: Sick Leave does not carry forward. Any unused Sick Leave balance is reset to the standard 10 days at the start of each calendar year. Unused Casual Leave: Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the",openai/gpt-oss-20b,The provided policy context does not contain enough information to answer that question.,0.8153,False,True,True,Unsupported case: the policy context does not provide the requested information.,openai/gpt-oss-120b,The provided policy context does not contain enough information to answer that question.,4.866,False,True,True,Unsupported case: the policy context does not provide the requested information.
