config,chunk_size_words,overlap_words,num_chunks,index_build_latency_sec,question_id,question,type,gold_title,retrieved_sources,retrieval_top1_correct,retrieval_top3_correct,mrr,relevant_chunk_percentage,context_words,context_chars,estimated_context_tokens,retrieval_latency_sec,rerank_latency_sec,generation_latency_sec,total_latency_sec,answer,answer_correct,hallucinated_proxy,grader_reason
medium_o20,160,20,7,0.4685,Q04,Can a new employee take Annual Leave immediately after joining?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Leave Types And Eligibility,True,True,1.0,66.67,349,2092,523,0.0371,0.612,1.889,2.5381,"No, a new employee cannot take Annual Leave immediately after joining. According to the policy, new employees become eligible to apply for Annual Leave only after completing 90 days of employment (their probation period).",True,False,Matches deterministic rubric.
medium_o20,160,20,7,0.4685,Q05,Is Sick Leave available from the first working day?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Approval Escalation,True,True,1.0,66.67,444,2717,680,0.0335,0.6013,1.9062,2.5411,"Yes, Sick Leave is available from an employee's first working day.",True,False,Matches deterministic rubric.
medium_o40,160,40,9,0.7457,Q01,How many Annual Leave days do employees get each year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,True,True,1.0,66.67,465,2756,689,0.0215,0.7091,0.6648,1.3955,Employees are entitled to 20 Annual Leave days per calendar year.,True,False,Matches deterministic rubric.
medium_o40,160,40,9,0.7457,Q02,How many Sick Leave days are provided per calendar year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,True,True,1.0,66.67,465,2756,689,0.0216,0.7409,0.7979,1.5604,Every employee is entitled to 10 Sick Leave days per calendar year.,True,False,Matches deterministic rubric.
medium_o40,160,40,9,0.7457,Q03,What is the yearly allowance for Casual Leave?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,True,True,1.0,66.67,389,2337,585,0.0231,1.3066,1.3172,2.6469,The yearly allowance for Casual Leave is 5 days per calendar year.,True,False,Matches deterministic rubric.
medium_o40,160,40,9,0.7457,Q04,Can a new employee take Annual Leave immediately after joining?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Leave Types And Eligibility,True,True,1.0,66.67,389,2337,585,0.0272,0.8474,1.232,2.1066,"No, a new employee cannot take Annual Leave immediately after joining. According to the policy, new employees become eligible to apply for Annual and Casual Leave only after completing 90 days of employment (their probation period).",True,False,Matches deterministic rubric.
medium_o40,160,40,9,0.7457,Q05,Is Sick Leave available from the first working day?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Approval Escalation,True,True,1.0,66.67,464,2836,709,0.0189,0.741,0.7982,1.5581,"Yes, Sick Leave is available from an employee's first working day.",True,False,Matches deterministic rubric.
large_o0,320,0,4,0.5166,Q01,How many Annual Leave days do employees get each year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Holiday Calendar,True,True,1.0,33.33,598,3632,908,0.0292,0.4892,4.4704,4.9888,Employees are entitled to 20 Annual Leave days per calendar year.,True,False,Matches deterministic rubric.
large_o0,320,0,4,0.5166,Q02,How many Sick Leave days are provided per calendar year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Approval Escalation,True,True,1.0,33.33,679,4114,1029,0.0963,1.8513,5.1991,7.1468,Every employee is entitled to 10 Sick Leave days per calendar year.,True,False,Matches deterministic rubric.
large_o0,320,0,4,0.5166,Q03,What is the yearly allowance for Casual Leave?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Holiday Calendar,True,True,1.0,33.33,598,3632,908,0.1583,1.2622,15.0026,16.423,The yearly allowance for Casual Leave is 5 days per calendar year.,True,False,Matches deterministic rubric.
large_o0,320,0,4,0.5166,Q04,Can a new employee take Annual Leave immediately after joining?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Approval Escalation,True,True,1.0,33.33,679,4114,1029,0.0988,0.4769,2.7266,3.3023,"No, a new employee cannot take Annual Leave immediately after joining. According to the policy, new employees become eligible to apply for Annual Leave only after completing 90 days of employment (their probation period).",True,False,Matches deterministic rubric.
large_o0,320,0,4,0.5166,Q05,Is Sick Leave available from the first working day?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Approval Escalation | Carry Forward Rules,True,True,1.0,33.33,679,4114,1029,0.0359,0.5321,7.1059,7.6738,"Yes, Sick Leave is available from an employee's first working day.",True,False,Matches deterministic rubric.
large_o40,320,40,4,0.5213,Q01,How many Annual Leave days do employees get each year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Holiday Calendar,True,True,1.0,33.33,598,3632,908,0.0286,0.5634,7.5428,8.1348,Employees are entitled to 20 Annual Leave days per calendar year.,True,False,Matches deterministic rubric.
large_o40,320,40,4,0.5213,Q02,How many Sick Leave days are provided per calendar year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Approval Escalation,True,True,1.0,33.33,679,4114,1029,0.0253,0.6136,12.3516,12.9905,Every employee is entitled to 10 Sick Leave days per calendar year.,True,False,Matches deterministic rubric.
large_o40,320,40,4,0.5213,Q03,What is the yearly allowance for Casual Leave?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Holiday Calendar,True,True,1.0,33.33,598,3632,908,0.0326,0.3174,7.5857,7.9357,The yearly allowance for Casual Leave is 5 days per calendar year.,True,False,Matches deterministic rubric.
large_o40,320,40,4,0.5213,Q04,Can a new employee take Annual Leave immediately after joining?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Approval Escalation,True,True,1.0,33.33,679,4114,1029,0.0305,0.3878,12.5089,12.9272,"No, a new employee cannot take Annual Leave immediately after joining. According to the policy, new employees become eligible to apply for Annual Leave only after completing 90 days of employment (their probation period).",True,False,Matches deterministic rubric.
large_o40,320,40,4,0.5213,Q05,Is Sick Leave available from the first working day?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Approval Escalation | Carry Forward Rules,True,True,1.0,33.33,679,4114,1029,0.0319,0.2859,15.3707,15.6886,"Yes, Sick Leave is available from an employee's first working day.",True,False,Matches deterministic rubric.
large_o80,320,80,5,0.3386,Q01,How many Annual Leave days do employees get each year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Holiday Calendar,True,True,1.0,33.33,598,3632,908,0.0127,0.4201,0.9662,1.3989,Employees are entitled to 20 Annual Leave days per calendar year.,True,False,Matches deterministic rubric.
large_o80,320,80,5,0.3386,Q02,How many Sick Leave days are provided per calendar year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Approval Escalation,True,True,1.0,33.33,679,4114,1029,0.0179,0.4585,0.9803,1.4566,Every employee is entitled to 10 Sick Leave days per calendar year.,True,False,Matches deterministic rubric.
large_o80,320,80,5,0.3386,Q03,What is the yearly allowance for Casual Leave?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Holiday Calendar,True,True,1.0,33.33,598,3632,908,0.0296,0.4004,1.1703,1.6002,The yearly allowance for Casual Leave is 5 days per calendar year.,True,False,Matches deterministic rubric.
large_o80,320,80,5,0.3386,Q04,Can a new employee take Annual Leave immediately after joining?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Approval Escalation,True,True,1.0,33.33,679,4114,1029,0.0287,0.4644,1.0055,1.4986,"No, a new employee cannot take Annual Leave immediately after joining. According to the policy, new employees become eligible to apply for Annual Leave only after completing 90 days of employment (their probation period).",True,False,Matches deterministic rubric.
large_o80,320,80,5,0.3386,Q05,Is Sick Leave available from the first working day?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Approval Escalation | Carry Forward Rules,True,True,1.0,33.33,679,4114,1029,0.0286,0.4295,6.6565,7.1145,"Yes, Sick Leave is available from an employee's first working day.",True,False,Matches deterministic rubric.
